iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TUR,Asia,Turkey,2020-03-11,1.0,1.0,,,,,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-12,1.0,0.0,,,,,0.012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-13,5.0,4.0,,,,,0.059,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-14,5.0,0.0,,,,,0.059,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-15,6.0,1.0,,,,,0.071,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-16,18.0,12.0,2.571,,,0.0,0.213,0.142,0.03,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-17,47.0,29.0,6.714,1.0,1.0,0.143,0.557,0.344,0.08,0.012,0.012,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-18,98.0,51.0,13.857,1.0,0.0,0.143,1.162,0.605,0.164,0.012,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-19,192.0,94.0,27.286,3.0,2.0,0.429,2.277,1.115,0.324,0.036,0.024,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-20,359.0,167.0,50.571,4.0,1.0,0.571,4.257,1.98,0.6,0.047,0.012,0.007,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-21,670.0,311.0,95.0,9.0,5.0,1.286,7.944,3.687,1.126,0.107,0.059,0.015,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-22,1236.0,566.0,175.714,30.0,21.0,4.286,14.655,6.711,2.083,0.356,0.249,0.051,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-23,1529.0,293.0,215.857,37.0,7.0,5.286,18.129,3.474,2.559,0.439,0.083,0.063,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-24,1872.0,343.0,260.714,44.0,7.0,6.143,22.196,4.067,3.091,0.522,0.083,0.073,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-25,2433.0,561.0,333.571,59.0,15.0,8.286,28.848,6.652,3.955,0.7,0.178,0.098,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-26,3629.0,1196.0,491.0,75.0,16.0,10.286,43.029,14.181,5.822,0.889,0.19,0.122,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-27,5698.0,2069.0,762.714,92.0,17.0,12.571,67.561,24.532,9.043,1.091,0.202,0.149,3.54,,,,,,,,,7533.0,47823.0,0.567,0.089,,,,,tests performed,,,,,,,,,,70.37,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-28,7402.0,1704.0,961.714,108.0,16.0,14.143,87.765,20.204,11.403,1.281,0.19,0.168,3.05,,,,,,,,,7641.0,55464.0,0.658,0.091,,,,,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-29,9217.0,1815.0,1140.143,131.0,23.0,14.429,109.285,21.52,13.519,1.553,0.273,0.171,2.69,,,,,,,,,9982.0,65446.0,0.776,0.118,,,,,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-30,10827.0,1610.0,1328.286,168.0,37.0,18.714,128.375,19.09,15.749,1.992,0.439,0.222,2.54,,,,,,,,,11535.0,76981.0,0.913,0.137,,,,,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-03-31,13531.0,2704.0,1665.571,214.0,46.0,24.286,160.436,32.061,19.749,2.537,0.545,0.288,2.39,,,,,,,,,15422.0,92403.0,1.096,0.183,,,,,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-01,15679.0,2148.0,1892.286,277.0,63.0,31.143,185.904,25.469,22.437,3.284,0.747,0.369,2.11,,,,,,,,,14396.0,106799.0,1.266,0.171,,,,,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-02,18135.0,2456.0,2072.286,356.0,79.0,40.143,215.025,29.121,24.571,4.221,0.937,0.476,1.87,,,,,,,,,18757.0,125556.0,1.489,0.222,,,,,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-03,20921.0,2786.0,2174.714,425.0,69.0,47.571,248.058,33.033,25.785,5.039,0.818,0.564,1.72,,,,,,,,,16160.0,141716.0,1.68,0.192,13413.0,0.159,0.162,6.2,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-04,23934.0,3013.0,2361.714,501.0,76.0,56.143,283.783,35.725,28.003,5.94,0.901,0.666,1.69,,,,,,,,,19664.0,161380.0,1.913,0.233,15131.0,0.179,0.156,6.4,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-05,27069.0,3135.0,2550.286,574.0,73.0,63.286,320.954,37.171,30.238,6.806,0.866,0.75,1.69,,,,,,,,,20065.0,181445.0,2.151,0.238,16571.0,0.196,0.154,6.5,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-06,30217.0,3148.0,2770.0,649.0,75.0,68.714,358.28,37.326,32.844,7.695,0.889,0.815,1.76,,,,,,,,,21400.0,202845.0,2.405,0.254,17981.0,0.213,0.154,6.5,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-07,34109.0,3892.0,2939.714,725.0,76.0,73.0,404.427,46.147,34.856,8.596,0.901,0.866,1.74,,,,,,,,,20023.0,222868.0,2.643,0.237,18638.0,0.221,0.158,6.3,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-08,38226.0,4117.0,3221.0,812.0,87.0,76.429,453.242,48.815,38.191,9.628,1.032,0.906,1.66,,,,,,,,,24900.0,247768.0,2.938,0.295,20138.0,0.239,0.16,6.3,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-09,42282.0,4056.0,3449.571,908.0,96.0,78.857,501.334,48.092,40.901,10.766,1.138,0.935,1.52,,,,,,,,,28578.0,276346.0,3.277,0.339,21541.0,0.255,0.16,6.2,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-10,47029.0,4747.0,3729.714,1006.0,98.0,83.0,557.618,56.285,44.223,11.928,1.162,0.984,1.44,,,,,,,,,30864.0,307210.0,3.643,0.366,23642.0,0.28,0.158,6.3,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-11,52167.0,5138.0,4033.286,1101.0,95.0,85.714,618.539,60.921,47.822,13.054,1.126,1.016,1.41,,,,,,,,,33170.0,340380.0,4.036,0.393,25571.0,0.303,0.158,6.3,tests performed,,,,,,,,,,77.78,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-12,56956.0,4789.0,4269.571,1198.0,97.0,89.143,675.322,56.783,50.624,14.205,1.15,1.057,1.37,,,,,,,,,35720.0,376100.0,4.459,0.424,27808.0,0.33,0.154,6.5,tests performed,,,,,,,,,,77.78,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-13,61049.0,4093.0,4404.571,1296.0,98.0,92.429,723.852,48.53,52.225,15.367,1.162,1.096,1.35,,,,,,,,,34456.0,410556.0,4.868,0.409,29673.0,0.352,0.148,6.7,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-14,65111.0,4062.0,4428.857,1403.0,107.0,96.857,772.015,48.163,52.513,16.635,1.269,1.148,1.28,,,,,,,,,33070.0,443626.0,5.26,0.392,31537.0,0.374,0.14,7.1,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-15,69392.0,4281.0,4452.286,1518.0,115.0,100.857,822.774,50.759,52.79,17.999,1.364,1.196,1.21,,,,,,,,,34090.0,477716.0,5.664,0.404,32850.0,0.389,0.136,7.4,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-16,74193.0,4801.0,4558.714,1643.0,125.0,105.0,879.699,56.925,54.052,19.481,1.482,1.245,1.12,,,,,,,,,40427.0,518143.0,6.144,0.479,34542.0,0.41,0.132,7.6,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-17,78546.0,4353.0,4502.429,1769.0,126.0,109.0,931.312,51.613,53.385,20.975,1.494,1.292,1.03,,,,,,,,,40270.0,558413.0,6.621,0.477,35886.0,0.425,0.125,8.0,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-18,82329.0,3783.0,4308.857,1890.0,121.0,112.714,976.167,44.855,51.09,22.41,1.435,1.336,1.0,,,,,,,,,40520.0,598933.0,7.101,0.48,36936.0,0.438,0.117,8.6,tests performed,,,,,,,,,,77.78,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-19,86306.0,3977.0,4192.857,2017.0,127.0,117.0,1023.322,47.155,49.714,23.915,1.506,1.387,1.04,,,,,,,,,35344.0,634277.0,7.521,0.419,36882.0,0.437,0.114,8.8,tests performed,,,,,,,,,,77.78,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-20,90980.0,4674.0,4275.857,2140.0,123.0,120.571,1078.741,55.419,50.698,25.374,1.458,1.43,1.09,,,,,,,,,39703.0,673980.0,7.991,0.471,37632.0,0.446,0.114,8.8,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-21,95591.0,4611.0,4354.286,2259.0,119.0,122.286,1133.413,54.672,51.628,26.785,1.411,1.45,1.04,,,,,,,,,39429.0,713409.0,8.459,0.468,38540.0,0.457,0.113,8.9,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-22,98674.0,3083.0,4183.143,2376.0,117.0,122.571,1169.968,36.555,49.599,28.172,1.387,1.453,0.91,,,,,,,,,37535.0,750944.0,8.904,0.445,39033.0,0.463,0.107,9.3,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-23,101790.0,3116.0,3942.429,2491.0,115.0,121.143,1206.914,36.946,46.745,29.536,1.364,1.436,0.81,,,,,,,,,40962.0,791906.0,9.39,0.486,39109.0,0.464,0.101,9.9,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-24,104912.0,3122.0,3766.571,2600.0,109.0,118.714,1243.931,37.017,44.66,30.828,1.292,1.408,0.74,,,,,,,,,38351.0,830257.0,9.844,0.455,38835.0,0.46,0.097,10.3,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
TUR,Asia,Turkey,2020-04-25,107773.0,2861.0,3634.857,2706.0,106.0,116.571,1277.854,33.923,43.098,32.085,1.257,1.382,0.73,,,,,,,,,38308.0,868565.0,10.298,0.454,38519.0,0.457,0.094,10.6,tests performed,,,,,,,,,,75.93,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
