Entity,Code,Day,new_vaccinations_smoothed_per_million
Japan,JPN,2021-04-19,0.041100000000000005
Japan,JPN,2021-04-20,0.0502
Japan,JPN,2021-04-21,0.0627
Japan,JPN,2021-04-22,0.07490000000000001
Japan,JPN,2021-04-23,0.0796
Japan,JPN,2021-04-24,0.0843
Japan,JPN,2021-04-25,0.08900000000000001
Japan,JPN,2021-04-26,0.1068
Japan,JPN,2021-04-27,0.1169
Japan,JPN,2021-04-28,0.11330000000000001
Japan,JPN,2021-04-29,0.10990000000000001
Japan,JPN,2021-04-30,0.10880000000000001
Japan,JPN,2021-05-01,0.1078
Japan,JPN,2021-05-02,0.1068
Japan,JPN,2021-05-03,0.0814
Japan,JPN,2021-05-04,0.0625
Japan,JPN,2021-05-05,0.0541
Japan,JPN,2021-05-06,0.0799
Japan,JPN,2021-05-07,0.0824
Japan,JPN,2021-05-08,0.0849
Japan,JPN,2021-05-09,0.0873
Japan,JPN,2021-05-10,0.1144
Japan,JPN,2021-05-11,0.13720000000000002
Japan,JPN,2021-05-12,0.16240000000000002
Japan,JPN,2021-05-13,0.1577
Japan,JPN,2021-05-14,0.16820000000000002
Japan,JPN,2021-05-15,0.17880000000000001
Japan,JPN,2021-05-16,0.1893
Japan,JPN,2021-05-17,0.22110000000000002
Japan,JPN,2021-05-18,0.2371
Japan,JPN,2021-05-19,0.2601
Japan,JPN,2021-05-20,0.2707
Jersey,JEY,2021-03-15,0.9201
Jersey,JEY,2021-03-16,0.9201
Jersey,JEY,2021-03-17,0.9201
Jersey,JEY,2021-03-18,0.9201
Jersey,JEY,2021-03-19,0.9201
Jersey,JEY,2021-03-20,0.9201
Jersey,JEY,2021-03-21,0.9201
Jersey,JEY,2021-03-22,0.9271
Jersey,JEY,2021-03-23,0.934
Jersey,JEY,2021-03-24,0.9419000000000001
Jersey,JEY,2021-03-25,0.9488000000000001
Jersey,JEY,2021-03-26,0.9557
Jersey,JEY,2021-03-27,0.9637
Jersey,JEY,2021-03-28,0.9706
Jersey,JEY,2021-03-29,1.0062
Jersey,JEY,2021-03-30,1.0418
Jersey,JEY,2021-03-31,1.0774000000000001
Jersey,JEY,2021-04-01,1.1131
Jersey,JEY,2021-04-02,1.1487
Jersey,JEY,2021-04-03,1.1843000000000001
Jersey,JEY,2021-04-04,1.2199
Jersey,JEY,2021-04-05,1.1081
Jersey,JEY,2021-04-06,0.9963000000000001
Jersey,JEY,2021-04-07,0.8845000000000001
Jersey,JEY,2021-04-08,0.7727
Jersey,JEY,2021-04-09,0.6609
Jersey,JEY,2021-04-10,0.5501
Jersey,JEY,2021-04-11,0.4383
Jersey,JEY,2021-04-12,0.5036
Jersey,JEY,2021-04-13,0.5679000000000001
Jersey,JEY,2021-04-14,0.6332
Jersey,JEY,2021-04-15,0.6985
Jersey,JEY,2021-04-16,0.7638
Jersey,JEY,2021-04-17,0.8291000000000001
Jersey,JEY,2021-04-18,0.8944000000000001
Jersey,JEY,2021-04-19,0.8786
Jersey,JEY,2021-04-20,0.8627
Jersey,JEY,2021-04-21,0.8469
Jersey,JEY,2021-04-22,0.8321000000000001
Jersey,JEY,2021-04-23,0.8162
Jersey,JEY,2021-04-24,0.8004
Jersey,JEY,2021-04-25,0.7846000000000001
Jersey,JEY,2021-04-26,0.7875000000000001
Jersey,JEY,2021-04-27,0.7895000000000001
Jersey,JEY,2021-04-28,0.7915000000000001
Jersey,JEY,2021-04-29,0.7945
Jersey,JEY,2021-04-30,0.7965
Jersey,JEY,2021-05-01,0.7984
Jersey,JEY,2021-05-02,0.8004
Jersey,JEY,2021-05-03,0.7737
Jersey,JEY,2021-05-04,0.746
Jersey,JEY,2021-05-05,0.7193
Jersey,JEY,2021-05-06,0.6916
Jersey,JEY,2021-05-07,0.6649
Jersey,JEY,2021-05-08,0.6372
Jersey,JEY,2021-05-09,0.6104
Jersey,JEY,2021-05-10,0.6104
Jersey,JEY,2021-05-11,0.6104
Jersey,JEY,2021-05-12,0.6104
Jersey,JEY,2021-05-13,0.6223000000000001
Jersey,JEY,2021-05-14,0.6332
Jersey,JEY,2021-05-15,0.6451
Jersey,JEY,2021-05-16,0.656
Jordan,JOR,2021-01-13,0.0267
Jordan,JOR,2021-01-14,0.0267
Jordan,JOR,2021-01-15,0.0267
Jordan,JOR,2021-01-16,0.0267
Jordan,JOR,2021-01-17,0.0267
Jordan,JOR,2021-01-18,0.0267
Jordan,JOR,2021-01-19,0.0267
Jordan,JOR,2021-01-20,0.0267
Jordan,JOR,2021-01-21,0.0267
Jordan,JOR,2021-01-22,0.0267
